2018-6-19,1,是,是,2018-6-15,2018-6-15,否,否,否,否
2018-6-20,1,是,是,2018-6-19,2018-6-19,否,否,否,否
2018-6-21,1,是,是,2018-6-20,2018-6-20,否,否,否,否
2018-6-22,1,是,是,2018-6-21,2018-6-21,否,否,否,否
2018-6-23,0,否,否,2018-6-22,2018-6-22,是,否,否,否
2018-6-24,0,否,否,2018-6-22,2018-6-22,是,否,否,否
2018-6-25,1,是,是,2018-6-22,2018-6-22,否,否,否,否
2018-6-26,1,是,是,2018-6-25,2018-6-25,否,否,否,否
2018-6-27,1,是,是,2018-6-26,2018-6-26,否,否,否,否
2018-6-28,1,是,是,2018-6-27,2018-6-27,否,否,否,否
2018-6-29,1,是,是,2018-6-28,2018-6-28,否,否,否,否
2018-6-30,0,否,否,2018-6-29,2018-6-29,是,是,是,否
2018-7-1,0,否,否,2018-6-29,2018-6-29,是,否,否,否
2018-7-2,1,是,是,2018-6-29,2018-6-29,否,否,否,否
2018-7-3,1,是,是,2018-7-2,2018-7-2,否,否,否,否
2018-7-4,1,是,是,2018-7-3,2018-7-3,否,否,否,否
2018-7-5,1,是,是,2018-7-4,2018-7-4,否,否,否,否
2018-7-6,1,是,是,2018-7-5,2018-7-5,否,否,否,否
2018-7-7,0,否,否,2018-7-6,2018-7-6,是,否,否,否
2018-7-8,0,否,否,2018-7-6,2018-7-6,是,否,否,否
2018-7-9,1,是,是,2018-7-6,2018-7-6,否,否,否,否
2018-7-10,1,是,是,2018-7-9,2018-7-9,否,否,否,否
2018-7-11,1,是,是,2018-7-10,2018-7-10,否,否,否,否
2018-7-12,1,是,是,2018-7-11,2018-7-11,否,否,否,否
2018-7-13,1,是,是,2018-7-12,2018-7-12,否,否,否,否
2018-7-14,0,否,否,2018-7-13,2018-7-13,是,否,否,否
2018-7-15,0,否,否,2018-7-13,2018-7-13,是,否,否,否
2018-7-16,1,是,是,2018-7-13,2018-7-13,否,否,否,否
2018-7-17,1,是,是,2018-7-16,2018-7-16,否,否,否,否
2018-7-18,1,是,是,2018-7-17,2018-7-17,否,否,否,否
2018-7-19,1,是,是,2018-7-18,2018-7-18,否,否,否,否
2018-7-20,1,是,是,2018-7-19,2018-7-19,否,否,否,否
2018-7-21,0,否,否,2018-7-20,2018-7-20,是,否,否,否
2018-7-22,0,否,否,2018-7-20,2018-7-20,是,否,否,否
2018-7-23,1,是,是,2018-7-20,2018-7-20,否,否,否,否
2018-7-24,1,是,是,2018-7-23,2018-7-23,否,否,否,否
2018-7-25,1,是,是,2018-7-24,2018-7-24,否,否,否,否
